Product Id (Don't Modify),Product Name,Added on (D-dd/mm/YY HH:MM:SS),Barcode (applicable only if variable combinations not used),Product Id,Model,Short Description,Product Keywords (will be used while searching for products in website),Is Hidden? (Y/N),Cost Price,Web Price,Weight,Reorder Quantity,Extra Shipping Cost,Bonus Points,"Discount Type ('%' for %,'Value' for Discount Value,'Exact' for Exact Discount Price)",Discount (value in this field depends on the Discount Type),Apply Tax? (Y/N),Variable Stock Allowed? (Y/N) (Dont't Modify),Fixed Web Stock (applicable only if Variable Stock Allowed is 'N'),Preorder Allowed? (Y/N),Maximum number of times preorder will be allowed? (applicable only if Preorder is Y),In Stock Date (applicable only if preorder is Y)  (D-dd/mm/YY),Product Deposit %,Product deposit message (will be considered only if Product deposit is >0),Activate Buy link (Y/N),Activate Enquire link (Y/N),Heading to be shown for size chart (applicable only if size chart is managed),Show Variable in new row in product details page? (Y / N),Allow Stock Notification?,Hide Product when out of stock?,Allow ordering even if out of stock (Y/N)?,Allow free Delivery? (Y/N),Caption to be displayed for Qty,"Qty type (Normal,Dropdown)","Value to be displayed in dropdown box. Seperate using comma (,) (applicable only if qty type is Dropdown",Prefix to be used for Qty (applicable only if Qty type is Drop down box),Suffix to be used for Qty (applicable only if Qty type is Drop down box),Prefix for Normal price,Suffix for Normal price,Prefix for From price,Suffix for From price,Prefix for Special offer price,Suffix for Special offer price,Prefix for Discount,Suffix for Discount,Prefix for You Save Price,Suffix for You Save Price,Caption for No Price,Show Price Promise button in details page? (Y/N),Show Sale Icon (Y/N),Caption for sale icon (applicable only if Sale icon is Y),Show New Icon (Y/N),Caption for new icon (applicable only if New icon is Y),Variable Combination Image Allowed (Don't Modify),Unique Ids of Images from Image gallery. Seperate Id's using '=>' (applicable only if Variable Combination Image is 'N'. Already assigned Images which are not specified in this column will be unassigned automatically before saving the current id's,Variable Combination Price Allowed (Don't Modify),Allow Bulk Discount (Y/N),"Format (Qty1=>Price1,Qty2=>Price2) (applicable only if Variable combination price allowed is 'N')"
P-537178,Caffe Prima Costa Rica - Zamorana Single Estate Coffee Beans 4Kg,D-31/10/2014 12:26:36,,4KG Case,,Caffe Prima Costa Rica - Zamorana Single Estate Coffee Beans,"Caffe Prima Costa Rica - Zamorana Single Estate Coffee Beans (4KG Case)
Zamorana Single Estate Coffee Beans
caffe prima coffee beans
coffee beans case
case coffee beans
4 kilo coffee 
4kg coffee beans 
single estate coffee beans",N,0.00,41.99,0.00,0,0.00,42,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,318864,N,N,
P-514899,Caffe Prima Costa Rica - Zamorana Single Estate Coffee Beans 6Kg,D-20/06/2011 13:14:29,5060181190703,6KG,,Costa Rica - Zamorana Single Estate Coffee Beans,"COSTA RICA
costa rican coffee
single estate
Costa Rica - Zamorana Single Estate
Zamorana
Caffe Prima Zamorana
Caffe Prima Costa Rica",N,0.00,74.49,0.00,0,0.00,74,Exact,64.99,N,N,499828,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,,Y,N,,N,Single Estate Coffee Beans From The Volcanic Soils Of Costa Rica,N,51701=>279550,N,Y,"3=>62.99,5=>60.00"
P-231903,Caffe Prima Crockery,D-06/04/2009 08:05:30,5060181190696,Caffe Prima,,Caffe Prima Crockery,"Cappuccino Cups & Saucers 
Large Cappuccino Cups & Saucers 
Espresso Cups & Saucers 
Latte Mugs 
Latte Glasses 
Caffe Prima Crockery
Caffe Prima Cups",N,0.00,25.00,0.00,0,0.00,20,%,0.00,Y,N,2147483389,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,85691,N,N,
P-511183,Caffe Prima Date Stem Ginger Cookies,D-04/03/2011 15:35:03,5060181190696,,Caffe Prima,Caffe Prima Date Stem Ginger Cookies,"cafe cookies
hand made cookies
Date Stem Ginger Cookies
Caffe Prima 
Cookies
Caffe Prima Cookies
Caffe Prima Date stem ginger cookies",N,0.00,3.49,0.00,0,0.00,3,%,0.00,N,N,499723,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,,Y,N,,N,,N,276793,N,Y,"4=>3.45,8=>3.40,12=>3.35,18=>3.29,24=>3.25,48=>3.20,60=>3.15,96=>3.10,120=>2.99"
P-460228,Caffe Prima Decaf Cafetiere Sachets,D-06/04/2009 08:06:01,5060181190697,Gways.co.uk,,Caffe Prima Decaf Cafetiere Sachets,"fresh ground coffee
pure coffee
perculator coffee
filter coffee
roasted coffee
Decaf Cafetiere Sachets
Caffe Prima Decaf Cafetiere Sachets
decaf",N,0.00,23.49,0.00,0,0.00,23,%,0.00,N,N,2147483573,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,321626,N,Y,"3=>22.49,6=>21.49"
P-401311,Caffe Prima Decaf Espresso Pods,D-06/04/2009 08:05:56,,Caffe Prima,ESE-100 Pods,Caffe Prima Decaf Espresso Pods,"coffee pods
decaf pods
ese pods
ese coffee pods
44 mm pods
pods
caffe prima pods
caffe prima
caffe prima coffee pods
coffee pod
espresso pods
Caffe Prima Decaf Espresso Pods",N,0.00,23.99,0.00,0,0.00,24,Exact,0.00,N,N,2147482575,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,"MIS PRINTED FOIL STOCK 
BEST BEFORE 12/11 - 
STOCK GOOD UNTIL 12/12",N,,N,258582,N,Y,"3=>21.49,5=>20.99,10=>19.99,20=>18.99,50=>16.00,100=>15.00"
P-511106,Caffe Prima Decaffeinated Coffee Beans 1Kg,D-25/02/2011 13:53:22,5060181190705,1 Kilo,,Caffe Prima Decaffeinated Coffee Beans,"Caffe Prima Decaffeinated Coffee Beans
Decaffeinated Coffee
Coffee
Caffe Prima Decaffeinated Coffee Beans
Coffee Beans
Ground Coffee
Caffe Prima
decaf coffee beans",N,0.00,10.49,0.00,0,0.00,10,%,0.00,N,N,499145,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4446,Y,N,,N,,N,51701,N,N,
P-537164,Caffe Prima Decaffeinated Coffee Beans 4Kg,D-30/10/2014 16:33:40,,4KG Case,,Caffe Prima Decaffeinated Coffee Beans,"Caffe Prima Decaffeinated Coffee Beans (4KG Case)
decaf coffee beans
decaffeinated coffee beans 
decaf beans
decaf coffee
caffe prima decaf beans
Case coffee beans",N,0.00,39.99,0.00,0,0.00,40,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,318864,N,N,
P-303804,Caffe Prima Decaffeinated Coffee Beans 6Kg,D-06/04/2009 08:05:48,5060181190698,6KG,CASE,Caffe Prima Decaffeinated Coffee Beans,"Caffe Prima Decaffeinated Coffee Beans
coffee
Decaffeinated Coffee Beans
Decaffeinated coffee
Caffe Prima coffee
Decaf coffee",N,0.00,59.95,0.00,0,0.00,60,Exact,0.00,N,N,499940,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,N,N,,N,,N,51701,N,Y,"3=>58.50,6=>57.00,12=>55.00,24=>50.00"
P-59106,Caffe Prima Decaffeinated Filter Coffee Sachets,D-06/04/2009 08:05:32,5060181190691,Garraways,50 x 3pt,Caffe Prima Decaffeinated Filter Coffee Sachets,"fresh coffee
perculator coffee
ground coffee
fresh roasted coffee
Decaffeinated Filter Coffee Sachets
Caffe Prima Decaffeinated Filter Coffee Sachets",N,0.00,34.99,0.00,0,0.00,35,%,0.00,N,N,2147483332,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,N,N,,N,,N,257810,N,Y,"3=>34.00,6=>33.00,12=>32.00"
P-536966,Caffe Prima Earl Grey Loose Leaf Tea,D-09/10/2014 12:55:38,,,,Caffe Prima Earl Grey Loose Leaf Tea,"Caffe Prima Earl Grey Loose Leaf Tea
earl grey tea
loose leaf tea
tea leaves
tea leafs
loose tea
caffe prima loose tea",N,0.00,8.99,0.00,0,0.00,9,%,0.00,N,N,4996,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,Y,BEST SELLER,N,,N,321342,N,N,
P-535840,Caffe Prima El Salvador San Ernesto Coffee Beans,D-02/07/2014 14:18:40,,(6KG),,Caffe Prima El Salvador San Ernesto Coffee Beans,"Caffe Prima El Salvador San Ernesto Coffee
Caffe Prima Coffee
Coffee Beans
Ground Coffee",Y,0.00,50.34,0.00,0,0.00,50,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,"*** LIMITED EDITION ***
Treat your customers to a fantastic new coffee.",N,51701,N,Y,"3=>48.75,6=>46.99"
P-535845,Caffe Prima El Salvador San Ernesto Coffee Beans,D-02/07/2014 17:32:36,,1 Kilo,,Caffe Prima El SalvadorSan Ernesto Coffee Beans,"Caffe Prima El Salvador San Ernesto Coffee
Caffe Prima Coffee
Coffee Beans
Ground Coffee
1 kilo",Y,0.00,8.99,0.00,0,0.00,9,%,0.00,N,N,0,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,Y,"*** LIMITED EDITION ***
Treat your customers to a fantastic new coffee.",N,51701,N,Y,"3=>8.69,6=>8.39"
P-536970,Caffe Prima English Breakfast Loose Leaf Tea,D-09/10/2014 13:15:41,,,,Caffe Prima English Breakfast Loose Leaf Tea,"Caffe Prima English Breakfast Loose Leaf Tea
breakfast tea
caffe prima loose leaf tea
tea leaves
tea leafs
loose tea",N,0.00,3.99,0.00,0,0.00,4,%,0.00,N,N,4982,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,321342,N,N,
P-520913,Caffe Prima ESE Coffee Pods - Dark Arabica,D-11/05/2012 16:16:47,,,,Caffe Prima ESE Coffee Pods - Dark Arabica,"arabica
pods
ese coffee pods
coffee pod ese pods
Caffe Prima ESE Coffee Pods - Dark Arabica
dark arabica
Caffe Prima ESE Coffee Pods - Dark Arabica
100% arabica
caffe prima pods
caffe prima ese coffee pods
arabica",N,0.00,24.99,0.00,0,0.00,25,Exact,0.00,N,N,56,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,,N,N,,N,"Same Great Best Selling Arabica Taste But Roasted Longer & Darker For A More Intense, Fuller Flavour.",N,321618,N,Y,"5=>23.99,10=>22.99,20=>20.00"
P-519024,Caffe Prima ESE Coffee Pods - Variety Pack,D-24/01/2012 11:56:31,5060181190698,,,Caffe Prima ESE Coffee Pods - Variety Pack,"ese coffee pods
coffee pods
variety pack
espresso pods
ese pods
coffee single serve
pod coffee
ese coffee
pods",N,0.00,32.99,0.00,0,0.00,33,Exact,0.00,N,N,999975,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy Now...,Normal,,,,,,,,,,,,,,,Y,N,,Y,NEW VARIETY BOX - TRY THE FULL RANGE FROM A SINGLE BOX,N,258582,N,N,
P-532139,Caffe Prima ESE Coffee Pods - Variety Pack x 400 Pods,D-28/11/2013 20:33:00,,,,Caffe Prima ESE Coffee Pods - Variety Pack x 400 Pods,"ese coffee pods
coffee pods
variety pack
espresso pods
ese pods
coffee single serve
pod coffee
ese coffee",Y,0.00,93.46,0.00,0,0.00,0,%,35.00,N,N,999999994,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,Black Friday Sale Item,N,,N,259469=>258582,N,N,
P-490039,Caffe Prima Fairtrade Arabica ESE Coffee Pods,D-05/03/2010 07:53:54,5060181190699,,,Caffe Prima FairTrade Arabica ESE Coffee Pods,"coffee pods
ese pods
pod coffee
caffe prima
caffe prima coffee pods
ese coffee pods
pods
ese pods
arabica coffee pods
Caffe Prima Fairtrade Arabica ESE Coffee Pods",N,0.00,25.50,0.00,0,0.00,26,Exact,0.00,N,N,49903,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,N,N,,N,Our Best Selling Pod Now Available In FairTrade Variety,N,321618,N,Y,"3=>24.99,5=>23.99,10=>22.99,25=>20.00"
P-448851,Caffe Prima Fairtrade Chocolate Sprinkler,D-06/04/2009 08:06:06,5060181190699,Caffe Prima,,Caffe Prima Fairtrade Chocolate Sprinkler,"Caffe Prima chocolate sprinkler
chocolate sprinkler
fairtrade chocolate
chocolate topping
chocolate dusting powder
Fairtrade Chocolate Sprinkler
Caffe Prima Fairtrade Chocolate Sprinkler",N,0.00,2.99,0.00,0,0.00,3,%,0.00,N,N,2147482297,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,212922,N,Y,"6=>2.90,12=>2.75"
P-395117,Caffe Prima Fairtrade Coffee A-Board,D-06/04/2009 08:05:49,5060181190691,FairTrade,,Caffe Prima Fairtrade Coffee A-Board,"FairTrade Coffee A-Board
Caffe Prima Fairtrade Coffee A-Board",Y,0.00,49.99,0.00,0,0.00,50,%,0.00,Y,N,2147483624,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,153802,N,N,
P-534954,Caffe Prima Fairtrade Continental Coffee Beans 1Kg,D-22/02/2014 03:13:32,,1Kg,,Caffe Prima Fairtrade Continental Coffee Beans,"Continental
1 Kilo
Coffee
Bean
caffe Prima
Fairtrade",N,0.00,9.49,0.00,0,0.00,9,%,0.00,N,N,4294967275,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,321623,N,N,
P-537165,Caffe Prima Fairtrade Continental Coffee Beans 4Kg,D-31/10/2014 09:39:52,,4KG Case,,Caffe Prima Fairtrade Continental Coffee Beans,"Caffe Prima Fairtrade Continental Coffee Beans (4KG Case)
FAIRTRADE COFFEE BEANS
continental fairtrade beans
fairtrade coffee
caffe prima fairtrade
fairtrade caffe prima coffee",N,0.00,35.99,0.00,0,0.00,36,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,318864,N,N,
P-534953,Caffe Prima Fairtrade Continental Coffee Beans 6Kg,D-22/02/2014 03:00:43,,6KG,,Caffe Prima Fairtrade Continental Coffee Beans,"coffee beans
espresso beans
fresh coffee beans
roasted coffee beans
Fairtrade Caffe Prima Continental Coffee Beans
fairtrade coffee beans
caffe prima coffee
caffe prima fairtrade coffee",N,0.00,54.50,0.00,0,0.00,54,%,0.00,N,N,4294967259,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,321623,N,N,
P-182619,Caffe Prima Fairtrade Italian Mahogany Coffee Beans,D-06/04/2009 08:05:46,5060181190700,(6KG),,Caffe Prima Fairtrade Italian Mahogany Coffee Beans,"Caffe Prima Fairtrade Italian Mahogany Coffee Beans
fair trade coffee
fair trade roasted coffee
fair trade roasted coffee beans
fair trade tea and coffee
fairtade espresso coffee beans
coffee beans wholesale
fairtrade",Y,0.00,54.50,0.00,0,0.00,55,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,51701,N,Y,"3=>53.50,6=>52.50,12=>50.00,24=>45.00,60=>40.00"
P-537166,Caffe Prima Fairtrade Italian Mahogany Coffee Beans 4Kg,D-31/10/2014 09:50:26,,4KG Case,,Caffe Prima Fairtrade Italian Mahogany Coffee Beans,"Caffe Prima Italian Mahogany Coffee Beans
fairtrade italian mahogany
Fairtrade italian coffee
fairtrade coffee
fairtrade coffee beans
italian mahogany coffee beans",N,0.00,34.99,0.00,0,0.00,35,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,318864,N,N,
P-511103,Caffe Prima Fairtrade Roma Coffee Beans 1Kg,D-25/02/2011 13:53:22,5060181190702,1Kg,,Caffe Prima Fairtrade Roma Coffee Beans,"1 kilo
Fairtrade
roma coffee beans 
roma
Caffe Prima
Fairtrade Roma Coffee
Coffee
Fairtrade Coffee
Caffe Prima",N,0.00,9.49,0.00,0,0.00,9,%,0.00,N,N,499755,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4449,Y,N,,N,,N,51701,N,N,
P-537167,Caffe Prima Fairtrade Roma Coffee Beans 4Kg,D-31/10/2014 09:59:31,,4KG Case,,Caffe Prima Fairtrade Roma Coffee Beans,"Caffe Prima Fairtrade Roma Coffee Beans (4KG Case)
fairtrade roma coffee beans
fairtrade coffee case
4kg coffee case 
roma fairtrade
fairtrade beans",N,0.00,35.99,0.00,0,0.00,36,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,318864,N,N,
P-94468,Caffe Prima Fairtrade Roma Coffee Beans 6Kg,D-06/04/2009 08:05:43,5060181190702,6KG,,Caffe Prima Fairtrade Roma Coffee Beans,"fairtrade coffee beans
fairtade coffee
fair trade roasted beans
fair trade espresso beans
Fairtrade Roma Coffee Beans
fair trade coffee beans
roma coffee beans
roma
coffee beans 
fairtrade roma beans 
fairtrade coffee 
fairtrade coffee beans",N,0.00,54.50,0.00,0,0.00,55,%,0.00,N,N,2147481703,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,Y,N,,N,,N,51701,N,Y,"3=>53.50,6=>52.50,12=>50.00,24=>45.00,60=>40.00"
P-534962,Caffe Prima Fairtrade Serrano Coffee Beans 1Kg,D-22/02/2014 13:19:21,,1 Kilo,,Caffe Prima Fairtrade Serrano Coffee Beans,"Caffe Prima Fairtrade Serrano Coffee Beans
Fairtrade
Serrano
Coffee
Beans
Caffe Prima Fairtrade Serrano Coffee
Caffe Prima",N,0.00,9.49,0.00,0,0.00,9,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,51701,N,N,
P-537180,Caffe Prima Fairtrade Serrano Coffee Beans 4Kg,D-31/10/2014 12:51:20,,4KG Case,,Caffe Prima Fairtrade Serrano Coffee Beans,"Caffe Prima Fairtrade Serrano Coffee Beans
serrano fairtrade
fairtrade serrano coffee beans
fairtrade coffee beans 
caffe prima fairtrade coffee beans
coffee beans case
4 kilo case 
4kg case",N,0.00,35.99,0.00,0,0.00,36,%,0.00,N,N,5000,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,318864,N,N,
P-534963,Caffe Prima Fairtrade Serrano Coffee Beans 6Kg,D-22/02/2014 13:39:03,,6KG,,Caffe Prima Fairtrade Serrano Coffee Beans,"Caffe Prima
Serrano coffee
Fairtrade
Coffee
coffee Beans
Fairtrade Caffe Prima Serrano Coffee Beans",N,0.00,54.50,0.00,0,0.00,55,%,0.00,N,N,4294967272,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,51701,N,N,
P-536958,Caffe Prima Grosvenor Cafetiere Sachets,D-08/10/2014 15:11:41,,,,Caffe Prima Grosvenor Cafetiere Sachets,"Caffe Prima Grosvenor Cafetiere Sachets
Caffe Prima 
Grosvenor Cafetiere Sachets
Caffe Prima Grosvenor 
Cafetiere Sachets",N,0.00,21.49,0.00,0,0.00,21,%,0.00,N,N,5000,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,29273,N,N,
P-537182,Caffe Prima Grosvenor Coffee Beans 1Kg,D-31/10/2014 15:13:47,,1 Kilo,,Caffe Prima Grosvenor Coffee Beans,"Caffe Prima Grosvenor Coffee Beans 
Grosvenor Coffee Beans 
kilo coffee beans
caffe prima coffee beans 
coffee beans
espresso beans",N,0.00,8.49,0.00,0,0.00,8,%,0.00,N,N,4999,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,318864,N,N,
P-537168,Caffe Prima Grosvenor Coffee Beans 4Kg,D-31/10/2014 10:40:39,,4KG Case,,Caffe Prima Grosvenor Coffee Beans,"Caffe Prima Grosvenor Coffee Beans (4KG Case)
Grosvenor Coffee Beans
Grosvenor coffee case
Grosvenor Coffee
coffee beans case
4kg coffee
4 kilo coffee",N,0.00,31.99,0.00,0,0.00,32,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,318864,N,N,
P-537183,Caffe Prima Grosvenor Coffee Beans 6Kg,D-31/10/2014 15:18:25,,6KG,,Caffe Prima Grosvenor Coffee Beans,"Caffe Prima Grosvenor Coffee Beans 
Grosvenor Coffee Beans 
6 kilo coffee beans
caffe prima coffee beans 
coffee beans
espresso beans
Grosvenor espresso beans",N,0.00,47.50,0.00,0,0.00,48,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,318864,N,N,
P-535068,Caffe Prima Grosvenor Filter Coffee Sachets,D-07/03/2014 15:53:31,,,,Caffe Prima Grosvenor Filter Coffee Sachets,"Grosvenor Filter Coffee Sachets
Filter coffee
filter coffee sachets
coffee sachets
Caffe Prima Grosvenor Filter Coffee Sachets",N,0.00,28.49,0.00,0,0.00,28,%,0.00,N,N,4979,N,0,D-00/00/0000,0.00,,Y,N,,N,N,Y,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,317238,N,N,
P-511102,Caffe Prima Italian Mahogany Coffee Beans 1Kg,D-25/02/2011 13:53:22,5060181190701,1 Kilo,,Caffe Prima Italian Mahogany Coffee Beans,"1 Kilo
Fairtrade Italian Mahogany Coffee
Fairtrade
Caffe Prima Italian Mahogany Coffee Beans
Coffee Beans
italian mahogany
roasted coffee beans 
Caffe Prima",N,0.00,9.49,0.00,0,0.00,9,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4448,Y,N,,N,,N,51701,N,N,
P-537169,Caffe Prima Italian Mahogany Coffee Beans 4Kg,D-31/10/2014 10:58:02,,4KG Case,,Caffe Prima Italian Mahogany Coffee Beans,"Caffe Prima Italian Mahogany Coffee Beans
Italian Mahogany Coffee Beans
caffe prima coffee beans 
italian mahogany coffee",N,0.00,35.99,0.00,0,0.00,36,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,318864,N,N,
P-534952,Caffe Prima Italian Mahogany Coffee Beans 6Kg,D-22/02/2014 01:14:41,,6KG,,Caffe Prima Italian Mahogany Coffee Beans,"Italian Mahogany Coffee beans
Mahogany
Coffee Beans
Caffe Prima Italian Mahogany Coffee beans
italian mahogany coffee beans
dark roast coffee beans 
caffe prima coffee beans",N,0.00,48.75,0.00,0,0.00,49,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,,N,N,,N,,N,51701,N,Y,"3=>46.75,5=>46.00,10=>44.49"
P-490038,Caffe Prima Italian Mahogany ESE Pods,D-05/03/2010 07:47:48,,,,Caffe Prima Italian Mahogany ESE Pods,"coffee pods
ese pods
caffe prima
pod coffee
caffe prima italian mahogany ese pods
italian mahogany coffee pods
pods
ese coffee pods
caffe prima pods",N,0.00,24.99,0.00,0,0.00,25,Exact,0.00,N,N,4998,N,0,D-00/00/0000,0.00,,Y,N,,N,Y,N,N,N,Buy More & Save...,Normal,,,,,,,,,,,,,,Call For Pricing - 0800 865 4444,N,N,best,N,Our New Speciality Coffee Pod - For Those Whom Are Passionate About Authentic Italian Flavours,N,258582,N,Y,"3=>23.49,5=>22.49,10=>21.49,20=>20.49,50=>18.99,90=>16.00"
P-536971,Caffe Prima Jasmine Loose Leaf Tea,D-09/10/2014 13:24:48,,,,Caffe Prima Jasmine Loose Leaf Tea,"Caffe Prima Jasmine Loose Leaf Tea
loose tea
loose leaf tea
jasmine tea
jasmine loose tea
tea leaves
tea leafs",N,0.00,10.49,0.00,0,0.00,10,%,0.00,N,N,5000,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,321342,N,N,
P-536955,Caffe Prima Kensington Coffee Beans 1Kg,D-08/10/2014 13:51:34,,1 Kilo,,Caffe Prima Kensington Coffee Beans,"Caffe Prima Kensington Coffee Beans
Kensington coffee beans
kensington coffee
caffe prima coffee
filter coffee
1kilo coffee
1kg 
1 kilo coffee
one kilo coffee",N,0.00,8.85,0.00,0,0.00,9,%,0.00,N,N,4989,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,318864,N,N,
P-537170,Caffe Prima Kensington Coffee Beans 4Kg,D-31/10/2014 11:02:12,,4KG Case,,Caffe Prima Kensington Coffee Beans,"Caffe Prima Kensington Coffee Beans (4KG Case)
Kensington coffee beans
coffee beans case 
caffe prima coffee beans
kensington coffee
caffe prima coffee
espresso beans case
case coffee
4 kilo coffee",N,0.00,33.99,0.00,0,0.00,34,%,0.00,N,Y,0,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,318864,N,N,
P-536956,Caffe Prima Kensington Coffee Beans 6Kg,D-08/10/2014 13:59:07,,6KG,,Caffe Prima Kensington Coffee Beans,"Caffe Prima Kensington Coffee Beans
Kensington Coffee Beans
caffe prima coffee",N,0.00,46.30,0.00,0,0.00,46,%,0.00,N,N,5000,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,318864,N,N,
P-536957,Caffe Prima Kensington Filter Coffee Sachets,D-08/10/2014 14:13:19,,Sachets,,Caffe Prima Kensington Filter Coffee Sachets,"Caffe Prima Kensington Filter Coffee Sachets
Kensington Filter Coffee Sachets
filter coffee
caffe prima filter coffee sachets
filter coffee sachets",N,0.00,23.49,0.00,0,0.00,23,%,0.00,N,N,4986,N,0,D-00/00/0000,0.00,,Y,N,,N,N,N,N,N,,Normal,,,,,,,,,,,,,,,N,N,,N,,N,29273,N,N,
